sra_run_id,sample_type,bioproject,qc_passed,hisat2_alignment_score,included_in_analysis,exclusion_reason
SRR25637180,Diseased,PRJNA1005317,FALSE,,FALSE,Failed QC filter
SRR25637181,Diseased,PRJNA1005317,TRUE,97.23,TRUE,
SRR25637182,Diseased,PRJNA1005317,TRUE,97.56,TRUE,
SRR25637185,Diseased,PRJNA1005317,FALSE,,FALSE,Failed QC filter
SRR25637188,Diseased,PRJNA1005317,FALSE,,FALSE,Failed QC filter
SRR25637205,Diseased,PRJNA1005317,FALSE,,FALSE,Failed QC filter
SRR25637208,Diseased,PRJNA1005317,TRUE,42.36,FALSE,Alignment score below 80%
SRR25637216,Diseased,PRJNA1005317,TRUE,96.88,TRUE,
SRR25637217,Diseased,PRJNA1005317,TRUE,97.48,TRUE,
SRR25637220,Diseased,PRJNA1005317,TRUE,97.86,TRUE,
SRR25637221,Diseased,PRJNA1005317,FALSE,,FALSE,Failed QC filter
SRR25637222,Diseased,PRJNA1005317,FALSE,,FALSE,Failed QC filter
SRR25637223,Diseased,PRJNA1005317,FALSE,,FALSE,Failed QC filter
SRR25637224,Diseased,PRJNA1005317,TRUE,56.23,FALSE,Alignment score below 80%
SRR25637225,Diseased,PRJNA1005317,FALSE,,FALSE,Failed QC filter
SRR10313349,Control,PRJNA578440,TRUE,96.30,TRUE,
SRR10313350,Control,PRJNA578440,TRUE,96.29,TRUE,
SRR10313351,Control,PRJNA578440,TRUE,96.48,TRUE,
SRR10313352,Control,PRJNA578440,TRUE,96.26,TRUE,
SRR10313353,Control,PRJNA578440,TRUE,96.42,TRUE,
SRR10313354,Control,PRJNA578440,TRUE,96.54,TRUE,
SRR10313355,Control,PRJNA578440,FALSE,,FALSE,Failed QC filter
SRR10313356,Control,PRJNA578440,FALSE,,FALSE,Failed QC filter
SRR10313357,Control,PRJNA578440,FALSE,,FALSE,Failed QC filter
SRR10313358,Control,PRJNA578440,FALSE,,FALSE,Failed QC filter
